OTUID;Kingdom;Phylum;Class;Order;Family;Genus;Species
10e1b102df2b20abab3f9218863271ae;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
3bdfc36ae87c7c2561fbdbb98e76747f;Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;
881bd9df065eba95f8d7a85c8058c27b;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Agathobacter;
c36cecd9bc9f8246a9609e4e141d4d69;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;
ff70646297eb2d9477c5fdac35d9daa8;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;
eef48b45eb492b850f712b21698a60e5;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium;
fe13acf899e1683bc71f8049ab927d6e;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;uncultured bacterium
de309a70ac00d4cca4aaca2f47a1789b;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
a8363a75a0462fb54ef64fa55532f17f;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;
265cbe3fe51c9b8aad81a39543d91166;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
7d23f1ef7e0378664be10b3dd377b6ba;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;
f151e4b3521268f407f015f588650cbb;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;
273770165e0723089232d2fb16d07422;Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;
51ef09c39929ffb0c7c1397435156652;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] hallii group;
0ca664eb4970a68f0c2c82c9ea975b64;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;
5ffedd1bba9888be2b346310941b81f9;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
5804ab35ffaadbf56c5bad20859ed7da;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides dorei
faaa5af189017a8907c466363766595e;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
3fcf2f89db38f8469c51d9f4465efa72;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
fc8ccddf4a494639206f710a5f1cf31c;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
